architecture,seed,forgotten_domain,method,base_method,protocol,rollback_scale,repair_epochs,repair_fraction,parameter_change_l2,parameter_change_max_abs,is_identity_map,is_near_identity,alpha,lambda,selected_parameter_count,selected_parameter_fraction,effectively_changed_parameter_count,selection_status,total_parameter_count,reference_forget_fisher_cosine_similarity,finite_ratio_max,finite_ratio_median,dampening_factor_min,dampening_factor_median,dampening_factor_max,alpha_is_configured_default,alpha_matches_published_cifar_resnet_setting,fisher_scope,forget_training_fraction,batch_normalized_ratio_upper_bound,full_fisher_batches,structural_noop,forget_fisher_batches,forget_fisher_samples,ablation_class_balanced,ablation_contrastive,no_contrast_ratio_upper_bound,class_weighting,fisher_estimator,domain_weighting,reference_domain_scope,retained_reference,online_raw_retain_rows,online_raw_forget_rows,cache_policy_note,teacher_frozen,forget_max_steps,total_min_steps,chosen_rewind_step,final_same_domain_validation_error,chosen_forget_train_error,temperature,alpha_retain_kl,gamma_retain_ce,optimizer,learning_rate,learning_rate_is_configured_default,learning_rate_matches_published_cifar_setting,schedule_scope,weight_decay,momentum,forget_batch_size,retain_batch_size,gradient_clipping,gradient_clip_norm,largest_preclip_grad_norm,gradient_clipping_scope,rewind_reference_uses
mlp,2026,NF-CSE-CIC-IDS2018,ssd_canonical@alpha=1,ssd_canonical,"canonical SSD (Foster et al., AAAI 2024)",,,,4.819063202387122,0.6177021265029907,False,False,1.0,1.0,9024.0,0.5310109450394257,9024.0,weights_changed,16994.0,0.9024798404006447,3.0369036197662354,1.035905122756958,0.3292827606201172,0.7304151058197021,0.9998167157173157,False,False,100% pooled train cache plus 100% forgotten train online,0.3128146399194522,3.19626730885009,5309.0,False,1661.0,106255.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mlp,2026,NF-CSE-CIC-IDS2018,ssd_canonical@alpha=2,ssd_canonical,"canonical SSD (Foster et al., AAAI 2024)",,,,2.6522591596628713,0.6177021265029907,False,False,2.0,1.0,884.0,0.052018359420972105,884.0,weights_changed,16994.0,0.9024798404006447,3.0369036197662354,1.035905122756958,0.3292827606201172,0.4517386555671692,0.49996939301490784,False,False,100% pooled train cache plus 100% forgotten train online,0.3128146399194522,3.19626730885009,5309.0,False,1661.0,106255.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mlp,2026,NF-CSE-CIC-IDS2018,ssd_canonical@alpha=3,ssd_canonical,"canonical SSD (Foster et al., AAAI 2024)",,,,0.09157486711638753,0.0760827511548996,False,False,3.0,1.0,2.0,0.00011768859597505002,2.0,weights_changed,16994.0,0.9024798404006447,3.0369036197662354,1.035905122756958,0.3292827606201172,0.3292827606201172,0.3309914469718933,False,False,100% pooled train cache plus 100% forgotten train online,0.3128146399194522,3.19626730885009,5309.0,False,1661.0,106255.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mlp,2026,NF-CSE-CIC-IDS2018,ssd_canonical@alpha=5,ssd_canonical,"canonical SSD (Foster et al., AAAI 2024)",,,,0.0,0.0,True,True,5.0,1.0,0.0,0.0,0.0,no_parameters_selected,16994.0,0.9024798404006447,3.0369036197662354,1.035905122756958,1.0,1.0,1.0,False,False,100% pooled train cache plus 100% forgotten train online,0.3128146399194522,3.19626730885009,5309.0,True,1661.0,106255.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mlp,2026,NF-CSE-CIC-IDS2018,dc_ssd_no_contrast,dc_ssd_no_contrast,DC-SSD ablation: class-balanced Fisher without retained-only contrast,,,,2.8152598968981843,0.7035527229309082,False,False,2.0,1.0,790.0,0.046486995410144755,790.0,weights_changed,16994.0,0.5721437278274706,3.9682037830352783,0.3218234181404114,0.25200319290161133,0.3834739923477173,0.4996219873428345,,,,,,,False,,,True,False,4.0,equal 0.5/0.5,class-conditional mean squared batch-mean CE gradient,equal across reference domains,all domains including forgotten,mean,0.0,0.0,The shared bank is kept only to benchmark independent deletion scenarios; a deployment must purge the forgotten domain entry.,,,,,,,,,,,,,,,,,,,,,,,
mlp,2026,NF-CSE-CIC-IDS2018,dc_ssd_no_class_balance,dc_ssd_no_class_balance,DC-SSD ablation: retained-domain contrast without class balancing,,,,3.3095036701008556,0.8220199942588806,False,False,2.0,1.0,1008.0,0.05931505237142521,1008.0,weights_changed,16994.0,0.598567918913121,87.7159423828125,0.3381410837173462,0.011400436982512474,0.32983365654945374,0.4999901056289673,,,,,,,False,,,False,True,,empirical training fractions within domain,class-conditional mean squared batch-mean CE gradient,equal across reference domains,retained only,mean,0.0,0.0,The shared bank is kept only to benchmark independent deletion scenarios; a deployment must purge the forgotten domain entry.,,,,,,,,,,,,,,,,,,,,,,,
mlp,2026,NF-CSE-CIC-IDS2018,dc_ssd,dc_ssd,proposed class-balanced domain-contrastive SSD,,,,4.226832046308084,0.9380702972412109,False,False,2.0,1.0,1280.0,0.07532070142403201,1280.0,weights_changed,16994.0,0.5278537156615148,374.40283203125,0.2624861001968384,0.0026709199883043766,0.27298372983932495,0.4994511306285858,,,,,,,False,,,True,True,,equal 0.5/0.5,class-conditional mean squared batch-mean CE gradient,equal across reference domains,retained only,mean,0.0,0.0,The shared bank is kept only to benchmark independent deletion scenarios; a deployment must purge the forgotten domain entry.,,,,,,,,,,,,,,,,,,,,,,,
mlp,2026,NF-CSE-CIC-IDS2018,scrub_r,scrub_r,"SCRUB+R (Kurmanji et al., NeurIPS 2023)",,,,4.769900824508409,2.5814414024353027,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2.0,3.0,3.0,0.27273504638932833,0.716032186720625,4.0,0.001,0.99,sgd,0.0005,True,True,NetFlow short-run adaptation; not exact image-experiment reproduction,0.0005,0.9,32.0,128.0,True,0.2,393.9411315917969,NetFlow numerical-stability adaptation for large whole-domain deletion; SCRUB objective and max/min schedule are unchanged,"forgotten-domain validation split, never test"
mlp,2026,NF-CSE-CIC-IDS2018,scrub_r@lr=0.0001,scrub_r,"SCRUB+R (Kurmanji et al., NeurIPS 2023)",,,,0.38779020430906846,0.058002620935440063,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2.0,3.0,1.0,0.8359057676685622,0.8220413157027905,4.0,0.001,0.99,sgd,0.0001,False,False,NetFlow short-run adaptation; not exact image-experiment reproduction,0.0005,0.9,32.0,128.0,True,0.2,213.51950073242188,NetFlow numerical-stability adaptation for large whole-domain deletion; SCRUB objective and max/min schedule are unchanged,"forgotten-domain validation split, never test"
mlp,2026,NF-CSE-CIC-IDS2018,scrub_r@lr=0.001,scrub_r,"SCRUB+R (Kurmanji et al., NeurIPS 2023)",,,,10.131305487517784,6.419399261474609,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2.0,3.0,3.0,0.3098465090427124,0.7421109594842595,4.0,0.001,0.99,sgd,0.001,False,False,NetFlow short-run adaptation; not exact image-experiment reproduction,0.0005,0.9,32.0,128.0,True,0.2,1570.301025390625,NetFlow numerical-stability adaptation for large whole-domain deletion; SCRUB objective and max/min schedule are unchanged,"forgotten-domain validation split, never test"
numerical_feature_transformer,2026,NF-UNSW-NB15,rollback_repair,rollback_repair,amnesiac update subtraction plus custom retained repair,1.0,2.0,0.25,20.326350698010227,3.27266263961792,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
numerical_feature_transformer,2026,NF-UNSW-NB15,ssd_canonical,ssd_canonical,"canonical SSD (Foster et al., AAAI 2024)",,,,0.0,0.0,True,True,10.0,1.0,0.0,0.0,0.0,no_parameters_selected,8770.0,0.4310547924667279,3.111750602722168,0.13858407735824585,1.0,1.0,1.0,True,True,100% pooled train cache plus 100% forgotten train online,0.2836896553754482,3.5252324037184595,5309.0,True,1506.0,96362.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
