architecture,seed,forgotten_domain,method,base_method,original_retained_validation_log_loss,method_retained_validation_log_loss,retrained_retained_validation_log_loss,is_identity_map,is_near_identity,ssd_selection_status,ssd_structural_noop,ssd_batch_ratio_upper_bound,original_retained_macro_f1,method_retained_macro_f1,retrained_retained_macro_f1,original_retained_macro_roc_auc,method_retained_macro_roc_auc,retrained_retained_macro_roc_auc,original_forgotten_f1,method_forgotten_f1,retrained_forgotten_f1,original_forgotten_roc_auc,method_forgotten_roc_auc,retrained_forgotten_roc_auc,original_mia_auc,method_mia_auc,retrained_mia_auc,method_abs_mia_auc_gap_from_retrained,method_forgotten_prediction_agreement_with_retrained,method_forgotten_js_divergence_from_retrained,method_forgotten_linear_cka_to_retrained,method_retained_macro_linear_cka_to_retrained,method_forgotten_abs_f1_gap_from_retrained,online_seconds,full_retraining_optimization_seconds,online_speedup_vs_retraining_optimization,selected_parameter_fraction,fisher_cosine_similarity,parameter_change_l2
mlp,42,NF-BoT-IoT,ssd_canonical@alpha=2,ssd_canonical,0.14506176319089684,0.14533923201284982,0.2045060954323878,False,False,weights_changed,False,3.3901660280970627,0.7625613103425074,0.7624374006262725,0.673987862982941,0.8323847313099882,0.8322228558025966,0.8290574041321054,0.9935193811008951,0.9935193811008951,0.02535166494476675,0.9901017340419822,0.989819885113008,0.3459717972119325,0.8387461972292334,0.8419055539158273,0.40035334235572184,0.4415522115601055,0.02621421678996462,0.49395238058293145,0.9103755256372813,0.9102185649786406,0.9681677161561284,3.1948640639998303,69.46708877799983,21.743362905722528,0.0006472872778627751,0.7732153944831002,0.19531579730111615
mlp,42,NF-BoT-IoT,ssd_canonical@alpha=3,ssd_canonical,0.14506176319089684,0.14506176319089684,0.2045060954323878,True,True,no_parameters_selected,False,3.3901660280970627,0.7625613103425074,0.7625613103425074,0.673987862982941,0.8323847313099882,0.8323847313099882,0.8290574041321054,0.9935193811008951,0.9935193811008951,0.02535166494476675,0.9901017340419822,0.9901017340419822,0.3459717972119325,0.8387461972292334,0.8387461972292334,0.40035334235572184,0.43839285487351154,0.02621421678996462,0.49394408262985434,0.9099616197033975,0.9105341666834917,0.9681677161561284,3.240482576999966,69.46708877799983,21.4372665574744,0.0,0.7732153944831002,0.0
mlp,42,NF-BoT-IoT,ssd_canonical@alpha=5,ssd_canonical,0.14506176319089684,0.14506176319089684,0.2045060954323878,True,True,no_parameters_selected,True,3.3901660280970627,0.7625613103425074,0.7625613103425074,0.673987862982941,0.8323847313099882,0.8323847313099882,0.8290574041321054,0.9935193811008951,0.9935193811008951,0.02535166494476675,0.9901017340419822,0.9901017340419822,0.3459717972119325,0.8387461972292334,0.8387461972292334,0.40035334235572184,0.43839285487351154,0.02621421678996462,0.49394408262985434,0.9099616197033975,0.9105341666834917,0.9681677161561284,3.311265137999726,69.46708877799983,20.97901734923094,0.0,0.7732153944831002,0.0
mlp,42,NF-BoT-IoT,dc_ssd_no_contrast,dc_ssd_no_contrast,0.14506176319089684,0.23248651200890078,0.2045060954323878,False,False,weights_changed,False,,0.7625613103425074,0.5427091720919273,0.673987862982941,0.8323847313099882,0.7815761534722542,0.8290574041321054,0.9935193811008951,0.8333881192768255,0.02535166494476675,0.9901017340419822,0.6982158515416689,0.3459717972119325,0.8387461972292334,0.3328766986874355,0.40035334235572184,0.06747664366828632,0.2979253779350273,0.17501043116627485,0.9334754066888435,0.7727368455942071,0.8080364543320588,0.02637523000021247,69.46708877799983,2633.800303445325,0.2204895845592562,0.39592262570465575,6.676046556289087
mlp,42,NF-BoT-IoT,dc_ssd_no_class_balance,dc_ssd_no_class_balance,0.14506176319089684,0.1457389387127483,0.2045060954323878,False,False,weights_changed,False,,0.7625613103425074,0.7623275695453761,0.673987862982941,0.8323847313099882,0.8188094482218654,0.8290574041321054,0.9935193811008951,0.9934992608193767,0.02535166494476675,0.9901017340419822,0.9882339256634635,0.3459717972119325,0.8387461972292334,0.8230833179509526,0.40035334235572184,0.42272997559523073,0.02625442264393696,0.4939266912867987,0.9074204581501275,0.910887448997907,0.96814759587461,0.01805527099986648,69.46708877799983,3847.468629992513,0.005943274096740026,0.49422239232965437,0.7809234944181394
mlp,42,NF-BoT-IoT,dc_ssd,dc_ssd,0.14506176319089684,0.26922724255539765,0.2045060954323878,False,False,weights_changed,False,,0.7625613103425074,0.3678211182129127,0.673987862982941,0.8323847313099882,0.7734282386871048,0.8290574041321054,0.9935193811008951,0.01311947522099116,0.02535166494476675,0.9901017340419822,0.4429557899822838,0.3459717972119325,0.8387461972292334,0.3046865332233215,0.40035334235572184,0.09566680913240033,0.9892650369893856,0.015055556964162336,0.9249341392243801,0.724292918787011,0.01223218972377559,0.025021505000040634,69.46708877799983,2776.2953818280325,0.2786277509709309,0.2108866284069234,9.485239061057408
mlp,42,NF-BoT-IoT,scrub_r,scrub_r,0.14506176319089684,0.35808374718142993,0.2045060954323878,False,False,,,,0.7625613103425074,0.6958242856954158,0.673987862982941,0.8323847313099882,0.7375587726613654,0.8290574041321054,0.9935193811008951,0.5407833695460684,0.02535166494476675,0.9901017340419822,0.5074969578210841,0.3459717972119325,0.8387461972292334,0.4918480298347234,0.40035334235572184,0.09149468747900158,0.6383885493727887,0.06651909446550847,0.8985698495857545,0.7728388787935788,0.5154317046013017,56.39285176099975,69.46708877799983,1.2318420971581718,,,75.38802288752272
mlp,42,NF-BoT-IoT,scrub_r@lr=0.001,scrub_r,0.14506176319089684,0.30417637751334925,0.2045060954323878,False,False,,,,0.7625613103425074,0.748033998398463,0.673987862982941,0.8323847313099882,0.7206375175863541,0.8290574041321054,0.9935193811008951,0.085622904705021,0.02535166494476675,0.9901017340419822,0.3477982230096097,0.3459717972119325,0.8387461972292334,0.7577609009320134,0.40035334235572184,0.3574075585762916,0.951391122547443,0.024579958895785646,0.866342924535987,0.7797603030759319,0.06027123976025425,56.56368724399999,69.46708877799983,1.2281216476984282,,,295.6623757996735
mlp,42,NF-CSE-CIC-IDS2018,rollback_repair,rollback_repair,0.044722911438605954,5.796402892534641,0.05886884068769772,False,False,,,,0.8878137742618702,0.6649624946369137,0.9697218088048026,0.9088727464251685,0.23740948402350395,0.9548366761166008,0.6177619893428064,0.2476140574123283,0.2647841971639111,0.7606376886964419,0.28552768087156466,0.5121508677108537,0.7509378956175435,0.6814013154524706,0.3889496586571293,0.2924516567953413,0.548502840545043,0.26240407539977423,0.39217940529819706,0.27117382231385956,0.017170139751582797,1.6534450979997928,67.19305541399945,40.63821380902474,,,53.09426864810773
mlp,42,NF-CSE-CIC-IDS2018,ssd_canonical,ssd_canonical,0.044722911438605954,0.044722911438605954,0.05886884068769772,True,True,no_parameters_selected,True,3.19626730885009,0.8878137742618702,0.8878137742618702,0.9697218088048026,0.9088727464251685,0.9088727464251685,0.9548366761166008,0.6177619893428064,0.6177619893428064,0.2647841971639111,0.7606376886964419,0.7606376886964419,0.5121508677108537,0.7509378956175435,0.7509378956175435,0.3889496586571293,0.3619882369604142,0.5505958737345692,0.19089017729964905,0.6876208275789519,0.8170161428065444,0.35297779217889524,3.3740578239999195,67.19305541399945,19.91461288423996,0.0,0.9156234664947999,0.0
