architecture,seed,forgotten_domain,model,evaluation_domain,evaluation_scope,accuracy,balanced_accuracy,precision_attack,recall_attack,f1_attack,roc_auc,average_precision,log_loss,true_negative,false_positive,false_negative,true_positive,samples,attack_rate
numerical_feature_transformer,2026,NF-ToN-IoT,ssd_canonical@alpha=1,NF-CSE-CIC-IDS2018,retained,0.14130109777455044,0.5,0.14130109777455044,1.0,0.2476140574123283,0.15168325084701334,0.08084468187668566,0.7385338319217394,0.0,20103.0,0.0,3308.0,23411.0,0.14130109777455044
numerical_feature_transformer,2026,NF-ToN-IoT,ssd_canonical@alpha=1,RETAINED_MACRO,retained_macro,0.405433388321671,0.5,0.405433388321671,1.0,0.4629749055937526,0.6496583016068842,0.6457393252899716,0.6918430463887472,0.0,39517.0,0.0,29748.0,69265.0,0.4294809788493467
numerical_feature_transformer,2026,NF-ToN-IoT,ssd_canonical@alpha=2,NF-UNSW-NB15,retained,0.9755028119340386,0.9101114485949436,0.8445006321112516,0.8329177057356608,0.8386691776522285,0.9894449936671377,0.9084336796886848,0.6449683707884466,19132.0,246.0,268.0,1336.0,20982.0,0.07644647793346677
numerical_feature_transformer,2026,NF-ToN-IoT,ssd_canonical@alpha=2,NF-ToN-IoT,forgotten,0.3010543204217282,0.21351673992752151,0.5423224159931944,0.3924888410035401,0.4553978033753014,0.12999812247264897,0.5644449169671757,0.7012148814070611,77.0,2152.0,3947.0,2550.0,8726.0,0.7445564978225991
numerical_feature_transformer,2026,NF-ToN-IoT,ssd_canonical@alpha=2,NF-BoT-IoT,retained,0.9944515921518173,0.5118152860542939,0.9985868863049095,0.9958527943308101,0.9972179662930409,0.8058072063849966,0.9996333625232778,0.6076932270425308,1.0,35.0,103.0,24733.0,24872.0,0.9985525892569959
numerical_feature_transformer,2026,NF-ToN-IoT,ssd_canonical@alpha=2,NF-CSE-CIC-IDS2018,retained,0.11131519371235744,0.36371343115001276,0.10647294318744097,0.7155380894800484,0.18536356161165277,0.18964681497302197,0.08270407930421249,0.7341195051376866,239.0,19864.0,941.0,2367.0,23411.0,0.14130109777455044
numerical_feature_transformer,2026,NF-ToN-IoT,ssd_canonical@alpha=2,RETAINED_MACRO,retained_macro,0.6937565325994045,0.59521338859975,0.6498534872012007,0.8481028631821731,0.6737502351856408,0.6616330050083854,0.6635903738387251,0.6622603676562213,19372.0,20145.0,1312.0,28436.0,69265.0,0.4294809788493467
numerical_feature_transformer,2026,NF-ToN-IoT,ssd_canonical@alpha=3,NF-UNSW-NB15,retained,0.077209036316843,0.5004128393023016,0.07650481732328532,1.0,0.14213557820115197,0.9822949946580549,0.8589629134776103,0.7061401860388862,16.0,19362.0,0.0,1604.0,20982.0,0.07644647793346677
numerical_feature_transformer,2026,NF-ToN-IoT,ssd_canonical@alpha=3,NF-ToN-IoT,forgotten,0.7445564978225991,0.5,0.7445564978225991,1.0,0.8535768245418117,0.2512446473380094,0.6000412408254973,0.6781313047267863,0.0,2229.0,0.0,6497.0,8726.0,0.7445564978225991
numerical_feature_transformer,2026,NF-ToN-IoT,ssd_canonical@alpha=3,NF-BoT-IoT,retained,0.9985525892569959,0.5,0.9985525892569959,1.0,0.9992757704997184,0.6840540613088528,0.9994424821246684,0.5900082923150664,0.0,36.0,0.0,24836.0,24872.0,0.9985525892569959
