architecture,seed,forgotten_domain,model,mia_loss_auc,mia_advantage,mia_tpr_at_fixed_fpr,member_nonmember_loss_gap,fixed_fpr,member_mean_loss,nonmember_mean_loss,samples_per_membership_group,benign_samples_per_group,attack_samples_per_group,bootstrap_repetitions,confidence_level,mia_loss_auc_ci_lower,mia_loss_auc_ci_upper,mia_advantage_ci_lower,mia_advantage_ci_upper,mia_tpr_at_fixed_fpr_ci_lower,mia_tpr_at_fixed_fpr_ci_upper,member_nonmember_loss_gap_ci_lower,member_nonmember_loss_gap_ci_upper,mia_bootstrap_unit,mia_bootstrap_status,mia_bootstrap_valid_repetitions,mia_bootstrap_invalid_class_coverage_repetitions,mia_bootstrap_member_groups,mia_bootstrap_nonmember_groups,mia_learned_auc,mia_learned_advantage,mia_learned_tpr_at_fixed_fpr,mia_learned_attack_train_rows,mia_learned_attack_test_rows,mia_learned_split_unit,mia_learned_status,mia_learned_attack_train_groups,mia_learned_attack_test_groups,mia_learned_group_overlap,mia_auc_gap_to_retrained,mia_auc_gap_to_retrained_ci_lower,mia_auc_gap_to_retrained_ci_upper,mia_gap_bootstrap_unit,mia_gap_bootstrap_status,mia_gap_bootstrap_valid_repetitions,mia_gap_bootstrap_invalid_class_coverage_repetitions,mia_gap_bootstrap_member_groups,mia_gap_bootstrap_nonmember_groups
numerical_feature_transformer,1337,NF-UNSW-NB15,retrained,0.5143848124201131,0.02300930713547053,0.023095484315753187,0.05798506736755371,0.01,1.091568946838379,1.1495540142059326,11604.0,10000.0,1604.0,1000,0.95,0.5046082484312072,0.5269854351447157,0.017583375073403035,0.044747334330744376,0.01747186416473477,0.03248782347227325,0.0069503709455235865,0.1108009070175296,conversation_group,ok,1000,0,262,29,0.5203485801605113,0.030421525247693038,0.03111158446528232,12129,11079,conversation_group,ok,145,146,0,0.0,0.0,0.0,,,,,,
numerical_feature_transformer,1337,NF-ToN-IoT,original,0.8058510402180233,0.5650928260371304,0.05970662388264955,0.3964272141456604,0.01,0.2521863579750061,0.6486135721206665,8726.0,2229.0,6497.0,1000,0.95,0.6359122933102187,0.8508413724001952,0.3156251449439136,0.6422019262543488,0.027378997294092006,0.20664388077827123,0.12093710004841102,0.4493136662258935,conversation_group,conditional_on_both_classes_present,995,5,556,61,0.8546513760065827,0.5767995344388188,0.0798438027023704,9834,7618,conversation_group,ok,308,309,0,0.28587135749546033,0.19145831599796292,0.3756070833124033,conversation_group,conditional_on_both_classes_present,993.0,7.0,556.0,61.0
numerical_feature_transformer,1337,NF-ToN-IoT,rollback_repair,0.6745951201130882,0.4440751776300711,0.010543204217281686,0.07057100534439087,0.01,0.9802542328834534,1.0508252382278442,8726.0,2229.0,6497.0,1000,0.95,0.5671169490303364,0.7076094164864749,0.26083931481671374,0.5317426617967077,0.005111098129507613,0.04760750809035129,0.015908638952894395,0.11357892567338555,conversation_group,conditional_on_both_classes_present,995,5,556,61,0.7511470311159831,0.4825603411076571,0.16718152074811984,9834,7618,conversation_group,ok,308,309,0,0.1546154373905252,0.06559397559787725,0.27832705257190665,conversation_group,conditional_on_both_classes_present,993.0,7.0,556.0,61.0
numerical_feature_transformer,1337,NF-ToN-IoT,ssd_canonical,0.8058510402180233,0.5650928260371304,0.05970662388264955,0.3964272141456604,0.01,0.2521863579750061,0.6486135721206665,8726.0,2229.0,6497.0,1000,0.95,0.6359122933102187,0.8508413724001952,0.3156251449439136,0.6422019262543488,0.027378997294092006,0.20664388077827123,0.12093710004841102,0.4493136662258935,conversation_group,conditional_on_both_classes_present,995,5,556,61,0.8546513760065827,0.5767995344388188,0.0798438027023704,9834,7618,conversation_group,ok,308,309,0,0.28587135749546033,0.19145831599796292,0.3756070833124033,conversation_group,conditional_on_both_classes_present,993.0,7.0,556.0,61.0
numerical_feature_transformer,1337,NF-ToN-IoT,ssd_canonical@alpha=1,0.5743885694872637,0.20032088012835209,0.010543204217281686,0.002343416213989258,0.01,0.7354946136474609,0.7378380298614502,8726.0,2229.0,6497.0,1000,0.95,0.5188701738292365,0.6412687562664332,0.10818325207743501,0.34345143733181627,0.0025915366802222502,0.04700326635154365,0.0004481760968564237,0.004579661335764612,conversation_group,conditional_on_both_classes_present,995,5,556,61,0.5852435035448802,0.22023991870729293,0.017329647284281265,9834,7618,conversation_group,ok,308,309,0,0.05440888676470068,-0.06491676343143549,0.2589847206910129,conversation_group,conditional_on_both_classes_present,993.0,7.0,556.0,61.0
numerical_feature_transformer,1337,NF-ToN-IoT,ssd_canonical@alpha=2,0.5459538566579579,0.2716021086408435,0.012262204904881962,0.0038362741470336914,0.01,0.7249875664710999,0.7288238406181335,8726.0,2229.0,6497.0,1000,0.95,0.48868908277910483,0.6155736243047345,0.11923563000478628,0.385887147188608,0.0042002170497761355,0.050494549648938694,0.0003199495200043729,0.007929312323553322,conversation_group,conditional_on_both_classes_present,995,5,556,61,0.57018341305811,0.325472503997233,0.01597928515823337,9834,7618,conversation_group,ok,308,309,0,0.025974173935394917,-0.09725389680459233,0.22838203286434833,conversation_group,conditional_on_both_classes_present,993.0,7.0,556.0,61.0
numerical_feature_transformer,1337,NF-ToN-IoT,ssd_canonical@alpha=3,0.6092610443003379,0.25785010314004125,0.13419665367866146,0.017826974391937256,0.01,0.6511971354484558,0.6690241098403931,8726.0,2229.0,6497.0,1000,0.95,0.4645291124651031,0.6577764583361315,0.09442019414016845,0.33638992832777154,0.0068900471140673335,0.24909324306804864,-0.0048653618942209875,0.029077007174009014,conversation_group,conditional_on_both_classes_present,995,5,556,61,0.6237703210739118,0.3029765473793881,0.11927880676325002,9834,7618,conversation_group,ok,308,309,0,0.08928136157777489,-0.012256812921591085,0.21145089901860936,conversation_group,conditional_on_both_classes_present,993.0,7.0,556.0,61.0
numerical_feature_transformer,1337,NF-ToN-IoT,ssd_canonical@alpha=5,0.43628424598974697,0.047444418977767605,0.021544808617923447,-0.30174875259399414,0.01,1.6636172533035278,1.3618685007095337,8726.0,2229.0,6497.0,1000,0.95,0.3963869937017002,0.5480305270200757,0.014169364487775992,0.16887827411972822,0.0047371198432253235,0.057476175520081885,-0.4670830344243327,0.10838134103631632,conversation_group,conditional_on_both_classes_present,995,5,556,61,0.6214662295711507,0.19099641926597,0.028578250028633907,9834,7618,conversation_group,ok,308,309,0,-0.08369543673281604,-0.16501713252464603,0.13712600383694296,conversation_group,conditional_on_both_classes_present,993.0,7.0,556.0,61.0
numerical_feature_transformer,1337,NF-ToN-IoT,dc_ssd_no_contrast,0.710209500861247,0.46206738482695386,0.01512720605088242,1.6795381307601929,0.01,1.3799539804458618,3.0594921112060547,8726.0,2229.0,6497.0,1000,0.95,0.61786351473101,0.7560314585963971,0.27194122982745417,0.5435820168931579,0.008937128176348185,0.03539838418333008,0.8007157333590356,1.9971592755485972,conversation_group,conditional_on_both_classes_present,995,5,556,61,0.7891979314942259,0.5101140949477694,0.06355751981082589,9834,7618,conversation_group,ok,308,309,0,0.190229818138684,0.10438072584153268,0.3108700972556605,conversation_group,conditional_on_both_classes_present,993.0,7.0,556.0,61.0
numerical_feature_transformer,1337,NF-ToN-IoT,dc_ssd_no_class_balance,0.46434183326137224,0.10978684391473757,0.11574604629841852,-4.9591064453125e-05,0.01,0.6928294897079468,0.6927798986434937,8726.0,2229.0,6497.0,1000,0.95,0.4113385646309412,0.5514105131895416,0.02342109919053909,0.21993441909449932,0.0044796387192151624,0.21532143034149978,-0.0001400955267455539,9.474694555932084e-05,conversation_group,conditional_on_both_classes_present,995,5,556,61,0.5,0.0,0.0,9834,7618,conversation_group,ok,308,309,0,-0.05563784946119077,-0.18722124061753148,0.16573986423526924,conversation_group,conditional_on_both_classes_present,993.0,7.0,556.0,61.0
