architecture,seed,forgotten_domain,candidate_model,evaluation_domain,evaluation_scope,prediction_agreement,mean_abs_attack_probability_gap,root_mean_square_probability_gap,mean_jensen_shannon_divergence,linear_cka_to_retrained,f1_gap_to_retrained,roc_auc_gap_to_retrained,log_loss_gap_to_retrained
numerical_feature_transformer,42,NF-BoT-IoT,ssd_canonical,NF-BoT-IoT,forgotten,0.0316420070762303,0.9264055493530072,0.9405907759571936,0.5860162156849521,0.5207977111876592,0.9529738008668928,0.9640944596553389,-3.5066312249994835
numerical_feature_transformer,42,NF-BoT-IoT,ssd_canonical,NF-CSE-CIC-IDS2018,retained,0.9833411644098928,0.043865906227490155,0.09094797967137094,0.00889590895459753,0.751772843209807,0.04084223570288892,0.007214470326668887,-0.02890485618953481
numerical_feature_transformer,42,NF-BoT-IoT,ssd_canonical@alpha=1,NF-UNSW-NB15,retained,0.9995710609093509,0.0019070289964510476,0.018983584135649056,0.0004097050968591478,0.9543183277184933,-0.0009270903543504572,-4.053752500787766e-05,0.0008699528953980376
numerical_feature_transformer,42,NF-BoT-IoT,ssd_canonical@alpha=1,NF-ToN-IoT,retained,0.6613568645427458,0.22173635832574545,0.3125436635634684,0.056645094777479366,0.5352363184658695,-0.2556775389207787,-0.10317043867366615,0.2925071647144884
numerical_feature_transformer,42,NF-BoT-IoT,ssd_canonical@alpha=1,NF-BoT-IoT,forgotten,0.03172241878417498,0.9262823320911253,0.9404817575269203,0.5857660408857158,0.52262716750656,0.9529331301709888,0.9636448435067374,-3.506495380370073
numerical_feature_transformer,42,NF-BoT-IoT,ssd_canonical@alpha=1,NF-CSE-CIC-IDS2018,retained,0.9833838793729444,0.04381248573237587,0.09087635355598059,0.008873674652393661,0.7516731042132262,0.04096303196605944,0.007236522718158556,-0.028892228692019073
numerical_feature_transformer,42,NF-BoT-IoT,ssd_canonical@alpha=2,NF-UNSW-NB15,retained,0.9995710609093509,0.0019090469018323063,0.01900707681975454,0.00041050956732918416,0.9546432311134514,-0.0009270903543504572,-4.073056084119564e-05,0.000873646205876316
numerical_feature_transformer,42,NF-BoT-IoT,ssd_canonical@alpha=2,NF-ToN-IoT,retained,0.6619298647719459,0.22165348103380558,0.3125346457295828,0.056641337369967196,0.5357872394555224,-0.25523388307339745,-0.10317762009494258,0.2924346872101787
numerical_feature_transformer,42,NF-BoT-IoT,ssd_canonical@alpha=2,NF-BoT-IoT,forgotten,0.0316420070762303,0.9264055493530072,0.9405907759571936,0.5860162156849521,0.5207977111876592,0.9529738008668928,0.9640944596553389,-3.5066312249994835
numerical_feature_transformer,42,NF-BoT-IoT,ssd_canonical@alpha=2,NF-CSE-CIC-IDS2018,retained,0.9833411644098928,0.043865906227490155,0.09094797967137094,0.00889590895459753,0.751772843209807,0.04084223570288892,0.007214470326668887,-0.02890485618953481
numerical_feature_transformer,42,NF-BoT-IoT,ssd_canonical@alpha=3,NF-UNSW-NB15,retained,0.9995710609093509,0.0019090469018323063,0.01900707681975454,0.00041050956732918416,0.9546432311134514,-0.0009270903543504572,-4.073056084119564e-05,0.000873646205876316
numerical_feature_transformer,42,NF-BoT-IoT,ssd_canonical@alpha=3,NF-ToN-IoT,retained,0.6619298647719459,0.22165348103380558,0.3125346457295828,0.056641337369967196,0.5357872394555224,-0.25523388307339745,-0.10317762009494258,0.2924346872101787
