architecture,seed,forgotten_domain,method,device,parameter_count,checkpoint_bytes,original_training_optimizer_steps,original_training_samples_seen,online_optimizer_steps,online_gradient_sample_exposures,online_unique_forget_samples,online_unique_retain_samples,online_selection_inference_samples,online_temporary_storage_bytes,online_seconds,online_optimization_seconds,full_retraining_optimizer_steps,full_retraining_samples_seen,full_retraining_optimization_seconds,full_retraining_validation_seconds,offline_preparation_seconds,offline_preparation_samples,offline_preparation_batches,offline_preparation_storage_bytes,offline_preparation_kind,offline_preparation_wall_seconds,offline_preparation_rss_start_bytes,offline_preparation_rss_peak_bytes,offline_preparation_rss_peak_increment_bytes,offline_preparation_accelerator_start_bytes,offline_preparation_accelerator_peak_bytes,offline_preparation_accelerator_peak_increment_bytes,offline_preparation_accelerator_memory_status,original_training_wall_seconds,original_training_rss_start_bytes,original_training_rss_peak_bytes,original_training_rss_peak_increment_bytes,original_training_accelerator_start_bytes,original_training_accelerator_peak_bytes,original_training_accelerator_peak_increment_bytes,original_training_accelerator_memory_status,online_unlearning_wall_seconds,online_unlearning_rss_start_bytes,online_unlearning_rss_peak_bytes,online_unlearning_rss_peak_increment_bytes,online_unlearning_accelerator_start_bytes,online_unlearning_accelerator_peak_bytes,online_unlearning_accelerator_peak_increment_bytes,online_unlearning_accelerator_memory_status,full_retraining_wall_seconds,full_retraining_rss_start_bytes,full_retraining_rss_peak_bytes,full_retraining_rss_peak_increment_bytes,full_retraining_accelerator_start_bytes,full_retraining_accelerator_peak_bytes,full_retraining_accelerator_peak_increment_bytes,full_retraining_accelerator_memory_status,online_speedup_vs_retraining_optimization,monitor_scope_speedup_vs_retraining,gradient_exposure_reduction_fraction
mlp,42,NF-ToN-IoT,scrub_r,cuda,16994,67976,26580,6793480,9405,982182,36840,302834,119347,271904,45.05533120900009,44.91126112200027,23700,6056680,87.41104161499993,0.18451953799990406,0.0,0,0,0,none,,,,,,,,not_measured,112.73868298399998,1549598720,1829146624,279547904,0,19344896,19344896,measured,45.061244420000094,2315440128,2315444224,4096,18087936,19027968,940032,measured,87.60079506800002,2315448320,2315464704,16384,18087936,18991616,903680,measured,1.9400821005958786,1.9440385234704942,0.8378349194608268
mlp,42,NF-ToN-IoT,scrub_r@lr=0.001,cuda,16994,67976,26580,6793480,9405,982182,36840,302834,119347,271904,44.899870269000075,44.75670009400005,23700,6056680,87.41104161499993,0.18451953799990406,0.0,0,0,0,none,,,,,,,,not_measured,112.73868298399998,1549598720,1829146624,279547904,0,19344896,19344896,measured,44.90575890700006,2315440128,2315452416,12288,18087936,19027968,940032,measured,87.60079506800002,2315448320,2315464704,16384,18087936,18991616,903680,measured,1.9467994248382174,1.9507697275403248,0.8378349194608268
mlp,42,NF-BoT-IoT,rollback_repair,cuda,16994,67976,26580,6793480,470,119730,0,104839,0,271904,1.7087770279999859,1.7063222199999473,18740,4789140,69.46708877799983,0.13753100200028712,,0,0,271904,domain update trace; incremental tracing time not separately measured,,,,,,,,not_measured,112.73868298399998,1549598720,1829146624,279547904,0,19344896,19344896,measured,1.7432537190002222,2316496896,2317836288,1339392,18087936,18989568,901632,measured,69.61000471999978,2317848576,2317864960,16384,18087936,18991616,903680,measured,40.653103149043744,39.93108057725641,0.9749996867913655
mlp,42,NF-BoT-IoT,ssd_canonical,cuda,16994,67976,26580,6793480,0,100217,100217,0,0,67976,3.269098326999938,0.0,18740,4789140,69.46708877799983,0.13753100200028712,10.527136286000086,339674,5309,67976,full-training Fisher cache,10.52980487700006,1831391232.0,1919426560.0,88035328.0,18087936.0,18436608.0,348672.0,measured,112.73868298399998,1549598720,1829146624,279547904,0,19344896,19344896,measured,3.2713888910002424,2317836288,2317840384,4096,18087936,18454528,366592,measured,69.61000471999978,2317848576,2317864960,16384,18087936,18991616,903680,measured,21.249617426389865,21.278425475950122,0.9790741135151614
mlp,42,NF-BoT-IoT,ssd_canonical@alpha=1,cuda,16994,67976,26580,6793480,0,100217,100217,0,0,67976,3.1719581249999464,0.0,18740,4789140,69.46708877799983,0.13753100200028712,10.527136286000086,339674,5309,67976,full-training Fisher cache,10.52980487700006,1831391232.0,1919426560.0,88035328.0,18087936.0,18436608.0,348672.0,measured,112.73868298399998,1549598720,1829146624,279547904,0,19344896,19344896,measured,3.174452098999609,2317836288,2317840384,4096,18087936,18454528,366592,measured,69.61000471999978,2317848576,2317864960,16384,18087936,18991616,903680,measured,21.90038015650065,21.928195023618894,0.9790741135151614
mlp,42,NF-BoT-IoT,ssd_canonical@alpha=2,cuda,16994,67976,26580,6793480,0,100217,100217,0,0,67976,3.1948640639998303,0.0,18740,4789140,69.46708877799983,0.13753100200028712,10.527136286000086,339674,5309,67976,full-training Fisher cache,10.52980487700006,1831391232.0,1919426560.0,88035328.0,18087936.0,18436608.0,348672.0,measured,112.73868298399998,1549598720,1829146624,279547904,0,19344896,19344896,measured,3.1973521719996825,2317836288,2317840384,4096,18087936,18454528,366592,measured,69.61000471999978,2317848576,2317864960,16384,18087936,18991616,903680,measured,21.743362905722528,21.77114092391781,0.9790741135151614
mlp,42,NF-BoT-IoT,ssd_canonical@alpha=3,cuda,16994,67976,26580,6793480,0,100217,100217,0,0,67976,3.240482576999966,0.0,18740,4789140,69.46708877799983,0.13753100200028712,10.527136286000086,339674,5309,67976,full-training Fisher cache,10.52980487700006,1831391232.0,1919426560.0,88035328.0,18087936.0,18436608.0,348672.0,measured,112.73868298399998,1549598720,1829146624,279547904,0,19344896,19344896,measured,3.2428391979997286,2317836288,2317840384,4096,18087936,18454528,366592,measured,69.61000471999978,2317848576,2317864960,16384,18087936,18991616,903680,measured,21.4372665574744,21.4657590061626,0.9790741135151614
mlp,42,NF-BoT-IoT,ssd_canonical@alpha=5,cuda,16994,67976,26580,6793480,0,100217,100217,0,0,67976,3.311265137999726,0.0,18740,4789140,69.46708877799983,0.13753100200028712,10.527136286000086,339674,5309,67976,full-training Fisher cache,10.52980487700006,1831391232.0,1919426560.0,88035328.0,18087936.0,18436608.0,348672.0,measured,112.73868298399998,1549598720,1829146624,279547904,0,19344896,19344896,measured,3.3136480369998935,2317836288,2317840384,4096,18087936,18454528,366592,measured,69.61000471999978,2317848576,2317864960,16384,18087936,18991616,903680,measured,20.97901734923094,21.007060479188127,0.9790741135151614
mlp,42,NF-BoT-IoT,dc_ssd_no_contrast,cuda,16994,67976,26580,6793480,0,0,0,0,0,271904,0.02637523000021247,0.0,18740,4789140,69.46708877799983,0.13753100200028712,10.588147320999951,339674,5310,271904,class-balanced per-domain Fisher bank,10.588261701999954,1919496192.0,1920442368.0,946176.0,18087936.0,18436608.0,348672.0,measured,112.73868298399998,1549598720,1829146624,279547904,0,19344896,19344896,measured,0.028724768000301992,2317836288,2317840384,4096,18087936,18454528,366592,measured,69.61000471999978,2317848576,2317864960,16384,18087936,18991616,903680,measured,2633.800303445325,2423.344366759305,1.0
mlp,42,NF-BoT-IoT,dc_ssd_no_class_balance,cuda,16994,67976,26580,6793480,0,0,0,0,0,271904,0.01805527099986648,0.0,18740,4789140,69.46708877799983,0.13753100200028712,10.681567900000118,339674,5310,271904,empirical-weighted class-conditional per-domain Fisher bank,10.681682185,1920438272.0,1920499712.0,61440.0,18087936.0,18436608.0,348672.0,measured,112.73868298399998,1549598720,1829146624,279547904,0,19344896,19344896,measured,0.02057820499976515,2317836288,2317840384,4096,18087936,18454528,366592,measured,69.61000471999978,2317848576,2317864960,16384,18087936,18991616,903680,measured,3847.468629992513,3382.7053778886066,1.0
mlp,42,NF-BoT-IoT,dc_ssd,cuda,16994,67976,26580,6793480,0,0,0,0,0,271904,0.025021505000040634,0.0,18740,4789140,69.46708877799983,0.13753100200028712,10.588147320999951,339674,5310,271904,class-balanced per-domain Fisher bank,10.588261701999954,1919496192.0,1920442368.0,946176.0,18087936.0,18436608.0,348672.0,measured,112.73868298399998,1549598720,1829146624,279547904,0,19344896,19344896,measured,0.027408680000007735,2317836288,2317840384,4096,18087936,18454528,366592,measured,69.61000471999978,2317848576,2317864960,16384,18087936,18991616,903680,measured,2776.2953818280325,2539.7065717860232,1.0
mlp,42,NF-BoT-IoT,scrub_r,cuda,16994,67976,26580,6793480,11880,918805,100217,239457,330351,271904,56.39285176099975,56.00208033700028,18740,4789140,69.46708877799983,0.13753100200028712,0.0,0,0,0,none,,,,,,,,not_measured,112.73868298399998,1549598720,1829146624,279547904,0,19344896,19344896,measured,56.398616975000095,2317836288,2317844480,8192,18087936,19027968,940032,measured,69.61000471999978,2317848576,2317864960,16384,18087936,18991616,903680,measured,1.2318420971581718,1.2342502077817956,0.8081482270303227
mlp,42,NF-BoT-IoT,scrub_r@lr=0.001,cuda,16994,67976,26580,6793480,11880,918805,100217,239457,330351,271904,56.56368724399999,56.17317643700062,18740,4789140,69.46708877799983,0.13753100200028712,0.0,0,0,0,none,,,,,,,,not_measured,112.73868298399998,1549598720,1829146624,279547904,0,19344896,19344896,measured,56.5695724520001,2317840384,2317852672,12288,18087936,19027968,940032,measured,69.61000471999978,2317848576,2317864960,16384,18087936,18991616,903680,measured,1.2281216476984282,1.2305202550198628,0.8081482270303227
mlp,42,NF-CSE-CIC-IDS2018,rollback_repair,cuda,16994,67976,26580,6793480,458,116710,0,101958,0,271904,1.6534450979997928,1.6513383129999966,18260,4668380,67.19305541399945,0.1494577560001744,,0,0,271904,domain update trace; incremental tracing time not separately measured,,,,,,,,not_measured,112.73868298399998,1549598720,1829146624,279547904,0,19344896,19344896,measured,1.6866778309999972,2320883712,2321571840,688128,18087936,18989568,901632,measured,67.34790929000019,2321588224,2321600512,12288,18087936,18991616,903680,measured,40.63821380902474,39.92932618914602,0.9749998928964652
mlp,42,NF-CSE-CIC-IDS2018,ssd_canonical,cuda,16994,67976,26580,6793480,0,106255,106255,0,0,67976,3.3740578239999195,0.0,18260,4668380,67.19305541399945,0.1494577560001744,10.527136286000086,339674,5309,67976,full-training Fisher cache,10.52980487700006,1831391232.0,1919426560.0,88035328.0,18087936.0,18436608.0,348672.0,measured,112.73868298399998,1549598720,1829146624,279547904,0,19344896,19344896,measured,3.3766279930000564,2321571840,2321575936,4096,18087936,18454528,366592,measured,67.34790929000019,2321588224,2321600512,12288,18087936,18991616,903680,measured,19.91461288423996,19.945315098262608,0.9772394278100754
mlp,42,NF-CSE-CIC-IDS2018,ssd_canonical@alpha=1,cuda,16994,67976,26580,6793480,0,106255,106255,0,0,67976,3.4418496600001163,0.0,18260,4668380,67.19305541399945,0.1494577560001744,10.527136286000086,339674,5309,67976,full-training Fisher cache,10.52980487700006,1831391232.0,1919426560.0,88035328.0,18087936.0,18436608.0,348672.0,measured,112.73868298399998,1549598720,1829146624,279547904,0,19344896,19344896,measured,3.4444055760000083,2321571840,2321575936,4096,18087936,18484224,396288,measured,67.34790929000019,2321588224,2321600512,12288,18087936,18991616,903680,measured,19.522367927597738,19.552839467938437,0.9772394278100754
mlp,42,NF-CSE-CIC-IDS2018,ssd_canonical@alpha=2,cuda,16994,67976,26580,6793480,0,106255,106255,0,0,67976,3.4669466289997217,0.0,18260,4668380,67.19305541399945,0.1494577560001744,10.527136286000086,339674,5309,67976,full-training Fisher cache,10.52980487700006,1831391232.0,1919426560.0,88035328.0,18087936.0,18436608.0,348672.0,measured,112.73868298399998,1549598720,1829146624,279547904,0,19344896,19344896,measured,3.469511309000154,2321571840,2321575936,4096,18087936,18454528,366592,measured,67.34790929000019,2321588224,2321600512,12288,18087936,18991616,903680,measured,19.381046956983553,19.411353153769817,0.9772394278100754
mlp,42,NF-CSE-CIC-IDS2018,ssd_canonical@alpha=3,cuda,16994,67976,26580,6793480,0,106255,106255,0,0,67976,3.4678769719998854,0.0,18260,4668380,67.19305541399945,0.1494577560001744,10.527136286000086,339674,5309,67976,full-training Fisher cache,10.52980487700006,1831391232.0,1919426560.0,88035328.0,18087936.0,18436608.0,348672.0,measured,112.73868298399998,1549598720,1829146624,279547904,0,19344896,19344896,measured,3.4702908360000038,2321571840,2321584128,12288,18087936,18454528,366592,measured,67.34790929000019,2321588224,2321600512,12288,18087936,18991616,903680,measured,19.37584751608128,19.406992806294035,0.9772394278100754
